Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,,,,,,,,,,ADJUSTED,NUMBER OF,NUMBER OF,WATER TEMP AT
YEAR,SPECIES,"METRIC
TONS",POUNDS*,POUNDS(millions)*,VALUE,VALUE(millions),PRICE/LB,"ADJUSTED
PRICE/LB","ADJUSTED
VALUE","VALUE
(millions)","LICENSE
HOLDERS�",TRAPS -MILLIONS,"BOOTHBAY HARBOR
STATION (C)"
1997,"LOBSTER,AMERICAN","21,329","47,023,271",47.0233,"$138,292,438",138.2924,$2.94,$7.50,"$352,467,817.97",352.4678,"7,118",2.589,9.0
1998,"LOBSTER,AMERICAN","21,336","47,036,836",47.0368,"$137,189,341",137.1893,$2.92,$7.24,"$340,517,544.44",340.5175,"6,937",2.837,9.2
1999,"LOBSTER,AMERICAN","24,265","53,494,418",53.4944,"$184,614,071",184.6141,$3.45,$8.21,"$439,081,450.83",439.0815,"6,794",3.051,9.9
2000,"LOBSTER,AMERICAN","25,953","57,215,406",57.2154,"$187,714,817",187.7148,$3.28,$7.52,"$430,272,302.35",430.2723,"6,873",2.776,9.9
2001,"LOBSTER,AMERICAN","22,053","48,617,693",48.6177,"$153,982,266",153.9823,$3.17,$7.55,"$366,842,578.26",366.8426,"6,831",2.966,10.0
2002,"LOBSTER,AMERICAN","28,860","63,625,745",63.6257,"$210,950,030",210.9500,$3.32,$7.89,"$501,728,356.06",501.7284,"6,799",3.092,10.6
2003,"LOBSTER, AMERICAN","24,934","54,970,948",54.9709,"$205,715,329",205.7153,$3.74,$8.70,"$478,127,967.16",478.1280,"6,822",3.207,10.1
2004,"LOBSTER, AMERICAN","32,466","71,574,244",71.5742,"$289,078,847",289.0788,$4.04,$8.89,"$636,463,113.00",636.4631,"6,799",3.237,10.2
2005,"LOBSTER, AMERICAN","31,175","68,729,861",68.7299,"$317,948,336",317.9483,$4.63,$9.44,"$649,119,282.83",649.1193,"6,720",3.286,11.2
2006,"LOBSTER, AMERICAN","34,176","75,345,827",75.3458,"$305,439,420",305.4394,$4.05,$7.75,"$583,785,435.86",583.7854,"6,614",3.293,12.5
2007,"LOBSTER, AMERICAN","29,019","63,975,958",63.9760,"$280,648,419",280.6484,$4.39,$8.21,"$525,317,935.19",525.3179,"6,498",3.275,9.3
2008,"LOBSTER, AMERICAN","31,710","69,908,504",69.9085,"$245,150,026",245.1500,$3.51,$6.24,"$436,349,920.42",436.3499,"6,295",3.187,9.8
